mes,fecha,temp_max,temp_min,precipitacion
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11,5,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,10 ene,11C,0,0
Mes desconocido,"72
feb",11,0,0
